Run,Sample Name
ERR525688,10_12M
ERR525689,103_12M
ERR525690,103_4M
ERR525691,103_B
ERR525692,103_M
ERR525693,10_4M
ERR525694,105_12M
ERR525695,105_4M
ERR525696,105_B
ERR525697,105_M
ERR525698,10_B
ERR525699,10_M
ERR525700,1_12M
ERR525701,12_12M
ERR525702,12_4M
ERR525703,128_12M
ERR525704,128_4M
ERR525705,128_B
ERR525706,128_M
ERR525707,12_B
ERR525708,12_M
ERR525709,130_12M
ERR525710,130_4M
ERR525711,130_B
ERR525712,130_M
ERR525713,133_12M
ERR525714,133_4M
ERR525715,133_B
ERR525716,133_M
ERR525717,137_12M
ERR525718,137_4M
ERR525719,137_B
ERR525720,137_M
ERR525721,1_4M
ERR525722,150_12M
ERR525723,150_4M
ERR525724,150_B
ERR525725,150_M
ERR525726,157_12M
ERR525727,157_4M
ERR525728,157_B
ERR525729,157_M
ERR525730,172_12M
ERR525731,172_4M
ERR525732,172_B
ERR525733,172_M
ERR525734,179_12M
ERR525735,179_4M
ERR525736,179_B
ERR525737,179_M
ERR525738,180_12M
ERR525739,180_4M
ERR525740,180_B
ERR525741,180_M
ERR525742,181_12M
ERR525743,18_12M
ERR525744,181_4M
ERR525745,181_B
ERR525746,181_M
ERR525747,184_12M
ERR525748,184_4M
ERR525749,184_B
ERR525750,18_4M
ERR525751,184_M
ERR525752,18_B
ERR525753,18_M
ERR525754,195_12M
ERR525755,195_4M
ERR525756,195_B
ERR525757,195_M
ERR525758,1_B
ERR525759,1_M
ERR525760,201_12M
ERR525761,201_4M
ERR525762,201_B
ERR525763,201_M
ERR525764,203_12M
ERR525765,203_4M
ERR525766,203_B
ERR525767,203_M
ERR525768,224_12M
ERR525769,224_4M
ERR525770,224_B
ERR525771,224_M
ERR525772,229_12M
ERR525773,229_4M
ERR525774,229_B
ERR525775,229_M
ERR525776,238_12M
ERR525777,238_4M
ERR525778,238_B
ERR525779,238_M
ERR525780,240_12M
ERR525781,240_4M
ERR525782,240_B
ERR525783,240_M
ERR525784,241_12M
ERR525785,241_4M
ERR525786,241_B
ERR525787,241_M
ERR525788,244_12M
ERR525789,244_4M
